Episode,Reward,Length,Epsilon,Termination,Loss
50,-26.391686768610043,1000,0.01999089815867558,out-of-view,0.7452799968719482
51,-25.667978158805443,1000,0.01999089815867558,out-of-view,0.7820452701747418
52,9.703494135492155,1000,0.01999089815867558,out-of-view,0.7574212670624256
53,72.34484522742285,893,0.01999089815867558,sleep,0.7698384387395684
54,-8.444806594549044,1000,0.01999089815867558,out-of-view,0.734202435195446
55,-66.38577131256346,241,0.01999089815867558,crash,0.8036904355426052
56,6.7997741301808174,1000,0.01999089815867558,out-of-view,0.7441449011564255
57,-67.22038632603348,513,0.01999089815867558,crash,0.8006700248281393
58,-165.64168346704895,284,0.01999089815867558,crash,0.7672885026730282
59,-66.12634756657971,162,0.01999089815867558,crash,0.75168152043113
60,-147.7860802648035,405,0.01999089815867558,crash,0.7592742378329054
61,-91.95192109617254,278,0.01999089815867558,crash,0.710845658890635
62,-29.399041267000822,1000,0.01999089815867558,out-of-view,0.73733297342062
63,-26.896334313479326,1000,0.01999089815867558,out-of-view,0.7189053902924061
64,-66.1919833993082,1000,0.01999089815867558,out-of-view,0.738880817040801
65,-67.62461054672819,277,0.01999089815867558,crash,0.7839055675677014
66,5.656151926525728,1000,0.01999089815867558,out-of-view,0.7639995998740197
67,8.064907388977655,1000,0.01999089815867558,out-of-view,0.7632297247201204
68,-48.54898773785967,232,0.01999089815867558,crash,0.7348116464784433
69,17.103338250887646,1000,0.01999089815867558,out-of-view,0.7231193937212229
70,-50.80749320628145,1000,0.01999089815867558,out-of-view,0.7277631975263357
71,-78.89739014551311,1000,0.01999089815867558,out-of-view,0.7614673292636871
72,-297.48772782165105,545,0.01999089815867558,crash,0.7284824474689063
73,-36.40043152448595,1000,0.01999089815867558,out-of-view,0.7234293351918459
74,-14.791346598773973,1000,0.01999089815867558,out-of-view,0.7170848855525255
75,-23.880462761443848,1000,0.01999089815867558,out-of-view,0.7772804570198059
76,-33.06341873624716,1000,0.01999089815867558,out-of-view,0.7806422289311886
77,-29.97556740391222,1000,0.01999089815867558,out-of-view,0.8148433018475771
