Episode,Reward,Length,Epsilon,Termination
0,-155.630846895632,109,0.9469456023337193,crash
1,-98.30354696336218,81,0.9093513299157857,crash
2,-335.3845083172213,91,0.8688931343479711,crash
3,-149.7946540523701,94,0.8289902453934568,crash
4,-81.87382175739972,72,0.7996701941469275,crash
5,-52.141579488622966,128,0.7500826346653616,crash
6,4.964160886391369,134,0.7014619270413868,crash
7,-122.02019393726896,154,0.6494639744680049,crash
8,-155.42018520680955,89,0.6211895316420278,crash
9,-37.45924038872808,160,0.5734187385492617,crash
10,-160.62964050628625,107,0.5435397566366702,crash
11,-87.22038343223326,149,0.5045082648710347,crash
12,-94.5975724483945,120,0.47512086151276683,crash
13,-23.49008557454023,128,0.4456586105077373,crash
14,-82.60799978261095,111,0.4215925524047106,crash
15,-222.93426029324104,104,0.4002247753528884,crash
16,-28.509900541161485,143,0.3726011135293968,crash
17,-56.90014221130471,196,0.3378101119099084,crash
18,-239.70780451466567,273,0.2946976165965032,crash
19,-55.149035575693915,166,0.27121965977462276,crash
20,-88.10290431735312,276,0.23625093728948202,crash
21,-109.51008607786278,1000,0.14327552031969878,out-of-view
22,145.88380731124988,698,0.10105674724308794,sleep
23,173.9114686502075,605,0.07467210256409364,sleep
24,-61.088102614677965,1000,0.04528525673160477,out-of-view
25,-47.86145037890734,1000,0.027463462348433554,out-of-view
26,77.91592473426935,1000,0.01999089815867558,out-of-view
27,235.00508320873078,521,0.01999089815867558,sleep
28,-3.0587249609515528,1000,0.01999089815867558,out-of-view
29,136.50808103374328,880,0.01999089815867558,sleep
30,-38.38459141041011,290,0.01999089815867558,crash
31,-44.057920650842966,1000,0.01999089815867558,out-of-view
32,216.12003612660243,446,0.01999089815867558,sleep
33,-62.92777843725807,86,0.01999089815867558,crash
34,-69.2925824053161,1000,0.01999089815867558,out-of-view
35,195.92933093329947,177,0.01999089815867558,sleep
36,-146.45463945185242,324,0.01999089815867558,crash
37,-27.75862855901407,64,0.01999089815867558,crash
38,29.058738681839415,1000,0.01999089815867558,out-of-view
39,-26.095432748731525,1000,0.01999089815867558,out-of-view
40,-14.73810088465359,281,0.01999089815867558,crash
41,-31.8508951288739,1000,0.01999089815867558,out-of-view
42,-47.616220078974024,1000,0.01999089815867558,out-of-view
43,-13.345862593130688,1000,0.01999089815867558,out-of-view
44,-38.84374228804266,1000,0.01999089815867558,out-of-view
45,250.09972194403977,271,0.01999089815867558,sleep
46,-35.051553181222964,1000,0.01999089815867558,out-of-view
47,105.04623058277372,1000,0.01999089815867558,out-of-view
48,-43.92280829980343,1000,0.01999089815867558,out-of-view
49,84.02961833987813,1000,0.01999089815867558,out-of-view
50,34.279017517410615,1000,0.01999089815867558,out-of-view
51,97.30735513582691,1000,0.01999089815867558,out-of-view
52,222.94803569196358,676,0.01999089815867558,sleep
53,70.29619666562549,1000,0.01999089815867558,out-of-view
54,138.82061211858152,1000,0.01999089815867558,out-of-view
55,17.45920883142018,1000,0.01999089815867558,out-of-view
56,251.4170095034688,452,0.01999089815867558,sleep
57,-7.494189663095014,1000,0.01999089815867558,out-of-view
58,102.78425586262733,1000,0.01999089815867558,out-of-view
59,-12.354643975847134,1000,0.01999089815867558,out-of-view
60,130.23865027655546,1000,0.01999089815867558,out-of-view
61,-14.050791758433522,1000,0.01999089815867558,out-of-view
62,249.93646863238854,697,0.01999089815867558,sleep
63,211.2697828462844,421,0.01999089815867558,sleep
64,159.84492218306156,1000,0.01999089815867558,out-of-view
65,41.35225099342486,90,0.01999089815867558,crash
66,-32.122478662937354,1000,0.01999089815867558,out-of-view
67,120.38383893109321,1000,0.01999089815867558,out-of-view
68,274.1492143924414,403,0.01999089815867558,sleep
69,71.81282966968568,1000,0.01999089815867558,out-of-view
70,-33.72234757053293,148,0.01999089815867558,crash
71,-28.637502108231907,1000,0.01999089815867558,out-of-view
72,-39.757386627599885,1000,0.01999089815867558,out-of-view
73,-28.027701034560092,1000,0.01999089815867558,out-of-view
74,32.55577177600355,134,0.01999089815867558,crash
75,5.591162396366409,1000,0.01999089815867558,out-of-view
76,219.1180255667063,748,0.01999089815867558,sleep
77,189.8539850927388,364,0.01999089815867558,sleep
78,-43.371562796678006,1000,0.01999089815867558,out-of-view
79,-45.38066046576641,112,0.01999089815867558,crash
80,245.51131983652508,285,0.01999089815867558,sleep
81,-18.573095734099525,1000,0.01999089815867558,out-of-view
82,-30.675756882863354,115,0.01999089815867558,crash
83,-18.462437570906427,1000,0.01999089815867558,out-of-view
84,-11.85949190886666,1000,0.01999089815867558,out-of-view
85,222.8788618526268,370,0.01999089815867558,sleep
86,-17.496637363765704,1000,0.01999089815867558,out-of-view
87,5.539025787993167,1000,0.01999089815867558,out-of-view
88,-18.879852029798524,1000,0.01999089815867558,out-of-view
89,244.30591928800712,517,0.01999089815867558,sleep
90,8.830066184681936,1000,0.01999089815867558,out-of-view
91,-18.6652506642869,1000,0.01999089815867558,out-of-view
92,10.489827779493819,1000,0.01999089815867558,out-of-view
93,291.5593957785206,293,0.01999089815867558,sleep
94,276.7266749896629,391,0.01999089815867558,sleep
95,139.84802725456373,975,0.01999089815867558,sleep
96,86.22436391100894,1000,0.01999089815867558,out-of-view
97,295.40212416579027,319,0.01999089815867558,sleep
98,8.968089516901273,127,0.01999089815867558,crash
99,18.55140345126108,146,0.01999089815867558,crash
100,263.87303298809917,261,0.01999089815867558,sleep
101,184.2910162900297,800,0.01999089815867558,sleep
102,293.79708592434963,255,0.01999089815867558,sleep
103,238.25388353812514,266,0.01999089815867558,sleep
104,247.3845977771575,297,0.01999089815867558,sleep
105,326.9427323872487,280,0.01999089815867558,sleep
106,192.2527601588557,927,0.01999089815867558,sleep
107,206.5845351353771,637,0.01999089815867558,sleep
108,64.98413673986312,1000,0.01999089815867558,out-of-view
109,203.23751962538904,452,0.01999089815867558,sleep
110,199.2128238557877,699,0.01999089815867558,sleep
111,304.40052516779144,342,0.01999089815867558,sleep
112,213.90305500226265,726,0.01999089815867558,sleep
113,51.84011061093838,117,0.01999089815867558,crash
114,200.04115299754125,435,0.01999089815867558,sleep
115,-13.401145695566727,1000,0.01999089815867558,out-of-view
116,-17.767087563031485,1000,0.01999089815867558,out-of-view
117,253.5049694728772,360,0.01999089815867558,sleep
118,-19.587306870434855,1000,0.01999089815867558,out-of-view
119,209.41809214491087,656,0.01999089815867558,sleep
120,28.805473138433285,195,0.01999089815867558,crash
121,-61.14785784207826,1000,0.01999089815867558,out-of-view
122,114.78421324742216,1000,0.01999089815867558,out-of-view
123,199.32077996629755,424,0.01999089815867558,sleep
124,-85.50940673249853,1000,0.01999089815867558,out-of-view
125,-49.036733389013484,1000,0.01999089815867558,out-of-view
126,-62.667664824295464,1000,0.01999089815867558,out-of-view
127,-115.12698863475325,1000,0.01999089815867558,out-of-view
128,56.37952537699174,1000,0.01999089815867558,out-of-view
129,-113.71995270280652,1000,0.01999089815867558,out-of-view
130,-23.48081502315956,1000,0.01999089815867558,out-of-view
131,20.71844067163316,1000,0.01999089815867558,out-of-view
132,242.63862458857295,767,0.01999089815867558,sleep
133,70.66561321678955,1000,0.01999089815867558,out-of-view
134,-87.16720249071439,1000,0.01999089815867558,out-of-view
135,-159.7139778588512,847,0.01999089815867558,crash
136,-125.657219169854,629,0.01999089815867558,crash
137,-32.31000813916913,1000,0.01999089815867558,out-of-view
138,-102.776677740014,1000,0.01999089815867558,out-of-view
139,-12.292611727222093,1000,0.01999089815867558,out-of-view
140,184.36609477738307,837,0.01999089815867558,sleep
141,209.54632716168427,829,0.01999089815867558,sleep
142,-1.3986427007836397,163,0.01999089815867558,crash
143,22.80616102753103,1000,0.01999089815867558,out-of-view
144,-75.70649568989441,1000,0.01999089815867558,out-of-view
145,169.35589722037395,987,0.01999089815867558,sleep
146,9.2223933360372,1000,0.01999089815867558,out-of-view
147,181.2779198839706,686,0.01999089815867558,sleep
148,6.57043045069069,1000,0.01999089815867558,out-of-view
149,161.15226290253983,907,0.01999089815867558,sleep
150,150.25240999986343,864,0.01999089815867558,sleep
151,2.049280715785302,1000,0.01999089815867558,out-of-view
152,-27.21902804072635,1000,0.01999089815867558,out-of-view
153,230.70130040809303,638,0.01999089815867558,sleep
154,168.78060853892595,669,0.01999089815867558,sleep
155,21.691174033156358,1000,0.01999089815867558,out-of-view
156,182.0018609006691,728,0.01999089815867558,sleep
157,263.29623399650393,439,0.01999089815867558,sleep
158,41.04663855434066,1000,0.01999089815867558,out-of-view
159,304.55796028695806,213,0.01999089815867558,sleep
160,152.6465417403768,767,0.01999089815867558,sleep
161,-5.167517825767254,1000,0.01999089815867558,out-of-view
162,293.87590213090914,204,0.01999089815867558,sleep
163,193.1204897264319,626,0.01999089815867558,sleep
164,264.0253199876826,428,0.01999089815867558,sleep
165,191.15121439487382,564,0.01999089815867558,sleep
166,304.87677780905403,205,0.01999089815867558,sleep
167,48.55600518220416,138,0.01999089815867558,crash
168,30.927305828904863,1000,0.01999089815867558,out-of-view
169,183.2773486035767,547,0.01999089815867558,sleep
170,188.01557042111773,590,0.01999089815867558,sleep
171,212.80005626620692,509,0.01999089815867558,sleep
172,143.85637576922542,1000,0.01999089815867558,out-of-view
173,245.49830038453734,399,0.01999089815867558,sleep
174,69.65654984603177,1000,0.01999089815867558,out-of-view
175,258.55488540579034,282,0.01999089815867558,sleep
176,212.84112616236774,543,0.01999089815867558,sleep
177,218.07369471079068,486,0.01999089815867558,sleep
178,211.12753943324535,645,0.01999089815867558,sleep
179,228.30081055437537,614,0.01999089815867558,sleep
180,210.4923503360764,575,0.01999089815867558,sleep
181,60.13361951610312,1000,0.01999089815867558,out-of-view
182,-15.034820301943332,1000,0.01999089815867558,out-of-view
183,237.08942873692,440,0.01999089815867558,sleep
184,-1.8552690285001125,1000,0.01999089815867558,out-of-view
185,175.86233182533147,643,0.01999089815867558,sleep
186,229.60377070441305,474,0.01999089815867558,sleep
187,199.5104720009282,770,0.01999089815867558,sleep
188,234.51276727967397,392,0.01999089815867558,sleep
189,250.63990609645575,654,0.01999089815867558,sleep
190,166.96957505666637,718,0.01999089815867558,sleep
191,203.26411768521973,540,0.01999089815867558,sleep
192,246.51593426655387,388,0.01999089815867558,sleep
193,275.15430416717766,398,0.01999089815867558,sleep
194,221.88380272047624,515,0.01999089815867558,sleep
195,306.57791139887036,237,0.01999089815867558,sleep
196,235.03382697548932,693,0.01999089815867558,sleep
197,12.693740786975027,158,0.01999089815867558,crash
198,237.7263398587677,648,0.01999089815867558,sleep
199,209.80789972403426,623,0.01999089815867558,sleep
200,230.21304659746573,442,0.01999089815867558,sleep
201,229.38269605197274,538,0.01999089815867558,sleep
202,231.04775392154687,457,0.01999089815867558,sleep
203,259.31785387676337,306,0.01999089815867558,sleep
204,246.83022419355774,690,0.01999089815867558,sleep
205,258.9682897240125,388,0.01999089815867558,sleep
206,218.34994941145544,642,0.01999089815867558,sleep
207,261.06329812784224,334,0.01999089815867558,sleep
208,171.55693536719895,831,0.01999089815867558,sleep
209,235.40819866320896,503,0.01999089815867558,sleep
210,257.5582210651962,510,0.01999089815867558,sleep
211,186.6730901887402,945,0.01999089815867558,sleep
212,241.3871665996457,478,0.01999089815867558,sleep
213,163.56854765431132,776,0.01999089815867558,sleep
214,214.9835401301365,584,0.01999089815867558,sleep
215,255.8722322170509,442,0.01999089815867558,sleep
216,256.911042336032,484,0.01999089815867558,sleep
217,224.55876924917948,478,0.01999089815867558,sleep
218,188.44830049446432,575,0.01999089815867558,sleep
219,243.17816709725705,520,0.01999089815867558,sleep
220,182.33298041433767,557,0.01999089815867558,sleep
221,207.53907954072878,587,0.01999089815867558,sleep
222,192.70975560961352,578,0.01999089815867558,sleep
223,219.40463966078795,518,0.01999089815867558,sleep
224,285.4508133219229,312,0.01999089815867558,sleep
225,181.24626333406863,597,0.01999089815867558,sleep
226,303.58959360536426,377,0.01999089815867558,sleep
227,214.14027106636692,726,0.01999089815867558,sleep
228,235.25267980589598,537,0.01999089815867558,sleep
229,253.93885912995393,521,0.01999089815867558,sleep
230,200.25738081954117,556,0.01999089815867558,sleep
231,207.1479183205975,620,0.01999089815867558,sleep
232,258.6256824042446,525,0.01999089815867558,sleep
233,223.0801060864468,471,0.01999089815867558,sleep
234,203.80021479769619,703,0.01999089815867558,sleep
235,188.82482688225156,439,0.01999089815867558,sleep
236,214.73768851930214,412,0.01999089815867558,sleep
237,226.0765421611067,644,0.01999089815867558,sleep
238,235.85481381864062,488,0.01999089815867558,sleep
239,204.380304718332,457,0.01999089815867558,sleep
240,243.16770022098274,247,0.01999089815867558,sleep
241,219.53543508005544,451,0.01999089815867558,sleep
242,271.4665614257066,334,0.01999089815867558,sleep
243,289.55278548211766,284,0.01999089815867558,sleep
