Episode,Reward,Length,Epsilon
103,-381.50669738549107,113,0.5937455908197752
104,-159.4631577248843,100,0.5907768628656763
105,-144.2326485890427,73,0.5878229785513479
106,-45.335478897065855,68,0.5848838636585911
107,-98.35453247333818,90,0.5819594443402982
108,-77.1469566767425,106,0.5790496471185967
109,-89.40943686551554,89,0.5761543988830038
110,-196.72971830110671,93,0.5732736268885887
111,-106.77639841694993,122,0.5704072587541458
112,-128.1878592706151,100,0.567555222460375
113,-124.26167971509642,111,0.5647174463480732
114,-114.21035178478354,114,0.5618938591163328
115,-297.4585939899274,74,0.5590843898207511
116,-162.9660115059976,138,0.5562889678716474
117,-327.4311005424915,101,0.5535075230322891
118,-216.13193799325467,83,0.5507399854171277
119,-94.30285097426443,106,0.547986285490042
120,-63.6416115046521,98,0.5452463540625918
121,-93.58536486426749,75,0.5425201222922789
122,-66.32754842917024,109,0.5398075216808175
123,-85.64231468232126,74,0.5371084840724134
124,-157.4861861719888,101,0.5344229416520513
125,10.082164231294612,410,0.531750826943791
126,-108.24697230850597,102,0.5290920728090721
127,-83.83790133641226,108,0.5264466124450268
128,-249.46115994003137,161,0.5238143793828016
129,-135.3622667256132,106,0.5211953074858876
130,-222.13503057959053,95,0.5185893309484582
131,-166.23871199867136,119,0.5159963842937159
132,-32.12526192651178,159,0.5134164023722473
133,8.501133554656846,120,0.510849320360386
134,15.401677923231418,152,0.5082950737585841
135,-46.726566687166255,162,0.5057535983897912
136,-124.8406258987794,145,0.5032248303978422
137,-22.253020231142457,132,0.500708706245853
138,-156.89857315645924,148,0.4982051627146237
139,-126.04954997306788,94,0.49571413690105054
140,-41.07104246287663,138,0.4932355662165453
141,-95.45738144412428,144,0.4907693883854626
142,-289.6041468420185,232,0.4883155414435353
143,-251.7018733770647,121,0.4858739637363176
144,-297.7121036674806,106,0.483444593917636
145,-252.10939986658965,108,0.4810273709480478
146,-57.81844813502195,59,0.47862223409330756
147,-85.34167795818674,85,0.47622912292284103
148,-156.8166346098247,91,0.4738479773082268
149,-172.69373044022788,104,0.47147873742168567
150,-126.4446113819359,100,0.46912134373457726
151,-148.927996770251,103,0.46677573701590436
152,-135.76471715635205,93,0.46444185833082485
153,-138.47455173688337,92,0.46211964903917074
154,-93.30867291034251,75,0.4598090507939749
155,-189.27740802933843,134,0.457510005540005
156,-312.34400884751335,153,0.45522245551230495
157,-105.20116232558067,109,0.4529463432347434
158,-260.67491072599887,244,0.4506816115185697
159,-171.9822710615276,111,0.4484282034609769
160,-100.3493830451735,93,0.446186062443672
161,-106.73610039312439,144,0.4439551321314536
162,-112.60933271997249,146,0.4417353564707963
163,-79.18254219204101,137,0.43952667968844233
164,-292.8736390595549,106,0.43732904629000013
165,-316.44063134864797,164,0.4351424010585501
166,-54.79011530398299,170,0.43296668905325736
167,-61.56877141284347,83,0.43080185560799106
168,-132.59692169345155,154,0.4286478463299511
169,-23.227635418083935,93,0.42650460709830135
170,-144.3254185034972,257,0.42437208406280985
171,22.7311071910553,157,0.4222502236424958
172,-89.89874019094576,108,0.42013897252428334
173,-142.57178255428659,73,0.4180382776616619
174,-280.71139070735967,129,0.4159480862733536
175,-118.27274786145571,62,0.41386834584198684
176,-71.5120085062696,151,0.4117990041127769
177,-198.19301674677013,131,0.40974000909221303
178,-77.42801430494207,82,0.40769130904675194
179,-306.13578799366667,364,0.40565285250151817
180,-145.21364197070923,144,0.4036245882390106
181,17.082738180493934,161,0.4016064652978155
182,36.048394882385566,142,0.3995984329713264
183,-65.24343801900253,431,0.3976004408064698
184,-25.40323952737404,172,0.39561243860243744
185,-95.9958066579202,113,0.3936343764094253
186,-154.01023221178275,182,0.39166620452737816
187,-96.23394880310666,183,0.3897078735047413
188,-81.58455135931783,104,0.3877593341372176
189,-298.2654833179273,271,0.3858205374665315
190,6.903126716996283,163,0.38389143477919885
191,-58.12343056739645,157,0.3819719776053028
192,-106.79490834627383,104,0.3800621177172763
193,-65.604637406657,133,0.37816180712868996
194,-74.4679662352793,124,0.37627099809304654
195,-283.3904449538128,318,0.3743896431025813
196,-104.48037394364363,61,0.37251769488706843
197,-0.08289395967342728,156,0.3706551064126331
198,-122.39923439419528,150,0.36880183088056995
199,-115.97847740787607,140,0.3669578217261671
200,-87.609543107555,78,0.36512303261753626
201,-17.335074291376472,102,0.3632974174544486
202,-235.71073855726095,610,0.3614809303671764
