Episode,Reward,Length,Epsilon,Termination
0,-145.01485662581928,112,0.9455258940210524,crash
1,-368.89486242240747,75,0.9107167220751963,crash
2,-660.1505407628885,101,0.8658565662672015,crash
3,-303.2804624392686,78,0.8327300447615915,crash
4,-51.05359344483276,72,0.8032777228282422,crash
5,-634.7397748175731,119,0.7568655515779528,crash
6,-106.41689532062422,92,0.7228300461283215,crash
7,-444.5445659995164,114,0.6827712419288002,crash
8,-13.963511785447594,134,0.6385136903022538,crash
9,-326.7549165766869,113,0.6034293622537864,crash
10,-263.55765188152475,112,0.570558087223565,crash
11,-139.05253907618896,140,0.5319755216671178,crash
12,-221.48548368776028,82,0.5106003666894737,crash
13,-137.07842744430502,133,0.4777418827606419,crash
14,-170.4342135976783,121,0.4496886535813294,crash
15,-94.7772933854041,138,0.4196991758284578,crash
16,-244.09764723656582,120,0.3952518677702707,crash
17,-147.75050697449075,128,0.370742294140148,crash
18,-165.88965550368556,132,0.3470575758360677,crash
19,-430.91888299675304,217,0.311364283639339,crash
20,10.488074426806719,1000,0.1888283714732284,out-of-view
21,-60.698744745915334,1000,0.11451587656898027,out-of-view
22,-18.659499697686666,1000,0.06944870563701908,out-of-view
23,164.31884625240218,954,0.04309767890407915,sleep
24,-32.40447047466227,1000,0.026136795224592578,out-of-view
25,53.52652044789352,257,0.022984313569502323,crash
26,236.85255340991824,466,0.01999089815867558,sleep
27,171.00138846575362,1000,0.01999089815867558,out-of-view
28,237.59564812207887,738,0.01999089815867558,sleep
29,201.90972814912885,328,0.01999089815867558,sleep
30,-72.55440465052635,246,0.01999089815867558,crash
31,-105.146575378618,265,0.01999089815867558,crash
32,260.3614962835779,484,0.01999089815867558,sleep
33,282.42841481864104,441,0.01999089815867558,sleep
34,186.62671925643284,429,0.01999089815867558,sleep
35,147.150747128269,930,0.01999089815867558,sleep
36,196.1955601958727,440,0.01999089815867558,sleep
37,6.271380436217228,250,0.01999089815867558,crash
38,222.1936630311218,854,0.01999089815867558,sleep
39,-47.06721959884321,241,0.01999089815867558,crash
40,-12.591119947613013,1000,0.01999089815867558,out-of-view
41,-71.54511743601573,1000,0.01999089815867558,out-of-view
42,-60.78166258922417,263,0.01999089815867558,crash
43,-2.071953844422009,1000,0.01999089815867558,out-of-view
44,-54.448704532182184,1000,0.01999089815867558,out-of-view
45,11.670061295152909,1000,0.01999089815867558,out-of-view
46,195.96679442835938,445,0.01999089815867558,sleep
47,-54.2781815525223,1000,0.01999089815867558,out-of-view
48,-53.5227448625385,1000,0.01999089815867558,out-of-view
49,-265.0937991586144,229,0.01999089815867558,crash
50,-75.88776252708233,1000,0.01999089815867558,out-of-view
51,-108.53108563224701,1000,0.01999089815867558,out-of-view
52,20.29153420948814,1000,0.01999089815867558,out-of-view
53,-134.0165642616705,1000,0.01999089815867558,out-of-view
54,-34.04270405962682,1000,0.01999089815867558,out-of-view
55,-43.25422542438981,1000,0.01999089815867558,out-of-view
56,-9.22280292125526,1000,0.01999089815867558,out-of-view
57,-71.76754050949818,1000,0.01999089815867558,out-of-view
58,-93.08769707892812,1000,0.01999089815867558,out-of-view
59,-137.81275793991404,952,0.01999089815867558,crash
60,-77.76954078273133,1000,0.01999089815867558,out-of-view
61,110.68100681227753,889,0.01999089815867558,sleep
62,-189.89541449882233,155,0.01999089815867558,crash
63,-0.6804800077819775,1000,0.01999089815867558,out-of-view
64,-270.6516064942654,437,0.01999089815867558,crash
65,-323.4015627061759,204,0.01999089815867558,crash
66,-104.91507257937532,1000,0.01999089815867558,out-of-view
67,-78.29422886146783,1000,0.01999089815867558,out-of-view
68,-309.77108917562634,454,0.01999089815867558,crash
69,-171.48840178969954,244,0.01999089815867558,crash
70,7.3336842763559185,1000,0.01999089815867558,out-of-view
71,139.71820727271054,862,0.01999089815867558,sleep
72,129.77945454280731,641,0.01999089815867558,sleep
73,140.0123152558008,872,0.01999089815867558,sleep
74,-32.6099904428342,1000,0.01999089815867558,out-of-view
75,29.830477419891615,1000,0.01999089815867558,out-of-view
76,-84.97874074695646,1000,0.01999089815867558,out-of-view
77,-238.48837850795857,467,0.01999089815867558,crash
78,48.73445678400481,1000,0.01999089815867558,out-of-view
79,-96.66646926341092,1000,0.01999089815867558,out-of-view
80,-141.84380184656078,926,0.01999089815867558,crash
81,176.37045129823719,700,0.01999089815867558,sleep
82,-25.21998974409352,1000,0.01999089815867558,out-of-view
83,19.95567252192742,1000,0.01999089815867558,out-of-view
84,206.65881173391452,655,0.01999089815867558,sleep
85,96.12171243083804,1000,0.01999089815867558,out-of-view
86,-35.01205158633765,1000,0.01999089815867558,out-of-view
87,-228.91042583239795,958,0.01999089815867558,crash
88,126.42434302803369,975,0.01999089815867558,sleep
89,157.75835898999517,959,0.01999089815867558,sleep
90,38.81298017307845,1000,0.01999089815867558,out-of-view
91,-107.81305152613287,1000,0.01999089815867558,out-of-view
92,-84.3494570600975,1000,0.01999089815867558,out-of-view
93,-75.58693697685067,1000,0.01999089815867558,out-of-view
94,-97.93115782816058,1000,0.01999089815867558,out-of-view
95,56.70729167252438,1000,0.01999089815867558,out-of-view
96,-95.91715054399589,1000,0.01999089815867558,out-of-view
97,-109.71981035197338,1000,0.01999089815867558,out-of-view
98,109.5312838900595,1000,0.01999089815867558,out-of-view
99,-56.2262550695166,1000,0.01999089815867558,out-of-view
100,-69.85032649487906,1000,0.01999089815867558,out-of-view
101,-92.81666503124507,1000,0.01999089815867558,out-of-view
102,-43.68505725627483,1000,0.01999089815867558,out-of-view
103,-68.38461866221458,1000,0.01999089815867558,out-of-view
104,125.66871589258183,1000,0.01999089815867558,out-of-view
105,-10.664056813859517,1000,0.01999089815867558,out-of-view
106,214.77857685267963,545,0.01999089815867558,sleep
107,147.87195764630846,1000,0.01999089815867558,out-of-view
108,21.845159011741515,260,0.01999089815867558,crash
109,178.39890654926134,981,0.01999089815867558,sleep
110,222.9853096026111,588,0.01999089815867558,sleep
111,-5.7484256536624985,1000,0.01999089815867558,out-of-view
112,233.4949682772163,759,0.01999089815867558,sleep
113,-7.180095873540151,1000,0.01999089815867558,out-of-view
114,260.14163264347167,482,0.01999089815867558,sleep
115,-45.627877868435334,1000,0.01999089815867558,out-of-view
116,244.8259689041074,375,0.01999089815867558,sleep
117,189.9580043747235,771,0.01999089815867558,sleep
118,-32.482833763821446,1000,0.01999089815867558,out-of-view
119,39.431908997065534,313,0.01999089815867558,crash
120,250.83296853348347,637,0.01999089815867558,sleep
121,161.56993861846317,591,0.01999089815867558,sleep
